id,price
2591820310,366312.22
7974200820,730281.94
7701450110,1094296.8
9522300010,1536391.1
9510861140,691246.9
1761300310,259826.8
7732410120,763813.75
7010701383,520129.84
291310170,424062.2
4232901990,531069.25
6840701125,651319.4
3971700580,436600.6
4202400078,263696.6
6064800090,346758.2
2626119028,257522.95
3303980660,1114707.8
862000020,520888.84
2386000070,810273.44
1138000450,377282.3
1775800420,478729.3
2291401425,415195.53
2025770560,790076.56
3525069037,710439.5
9324800450,722063.75
8080400136,490193.8
8651540040,494586.22
9407001790,299109.16
1773101530,244810.58
9432900250,348018.75
1794500695,547719.3
2220069003,333574.88
923000120,497155.5
5728000060,556065.1
16000200,272549.5
1926059094,505589.3
6672900220,870663.9
3629860060,745503.4
1822069109,450105.53
6675500105,396479.38
249000180,1163287.6
226059065,464944.28
396100110,313473.03
9264450460,322627.72
7853361210,369974.4
9474700020,278559.0
421000455,232733.95
3755200220,404267.25
7960100075,395419.44
9477100490,394794.3
9138100350,758480.0
1624049275,392947.38
2770606890,389033.66
1157200189,514025.03
2770601800,427397.53
9301300805,456288.1
2325069032,1007290.75
1021079099,389670.1
7215730040,701396.25
1853200080,536302.4
3224600340,658144.0
3222049120,368344.72
2113700025,279865.38
7893207925,218422.55
3586501085,489423.06
8024200010,454693.03
7116500705,189994.31
1598600209,314150.28
7204200025,926976.06
4206901505,510660.47
2937300440,773015.7
7205000180,304442.2
8718500665,396330.8
5318101765,830367.9
4122700020,726079.1
8078700020,482259.1
3303980680,991726.1
8924100372,1004585.44
2781270210,221036.25
519000043,520013.28
3225069301,1093952.5
151000075,639917.94
2297400020,462261.47
6617500085,661803.3
104510180,250093.23
3528900060,861928.94
3345100286,549941.7
1226039130,458465.12
8712100720,714773.94
3037200010,392938.0
3626039268,409155.9
104510230,259927.67
5112800060,455672.34
6072400280,620826.8
5317100570,971061.56
9528102993,448483.3
2919201095,445879.72
6181400920,296043.97
185000161,273200.1
8691400010,648556.2
3345700165,593990.6
6151800486,225646.17
4340000080,997248.75
4136960010,459256.3
3634100030,329924.5
1624059224,1028377.1
2788400090,315573.9
9828200762,517805.66
7524400250,595569.8
3528000290,666558.4
5700003630,1898587.2
2720069019,284133.03
7227501170,238837.08
2397101270,545286.44
6792100090,676465.25
2770602265,520723.94
3971700937,334599.53
422049203,259221.9
